sentiment	text
neutral	@mkomov Максим, Вашем письмо мы получили. Наши сотрудники свяжутся с Вами завтра и направят запрос инженерам для проверки. #билайн
neutral	«Мегафон» стал владельцем 50% акций «Евросети»
negative	RT @fuckkiev: “@EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/RbSesXlOUZ” …
positive	ВИДЕО: http://t.co/PSMLAhR4fI Реклама со смехом МТС - Супер 0
negative	@parfenov1960 потому что МТС достало, а пчел ненавижу с детства, как и их мёд!
negative	RT @f_u_c_k_y_o_u_: Билайн интернет стал полным говном
neutral	На Дне города в Тюмени «МегаФон» разыграет смартфон за лучшее селфи
neutral	&amp;laquo;Ростелеком&amp;raquo; стал партнером всероссийского конкурса &amp;laquo;Поколение i&amp;raquo; на создание лучшего интернет-проекта для детей, о
neutral	RT @parfenov1960: Сотовый оператор Мегафон проводит конкурс с розыгрышем 50 iPhone 5s. Для участия нужно... http://t.co/8SZYFgjtMe
positive	«МегаФон» поможет контролировать расходы на Интернет за границей
negative	@parfenov1960 Фуфло эт ваш Мегафон.просит много,дает мало.
neutral	@vinylanarchist Ну давай ты позвонишь как будешь в парке, а я подойду или наоборот у тя мтс ?
neutral	За 7 месяцев Tele2 провела 90 городских мероприятий, в которых участвовали 85 тыс. человек
neutral	@Beeline_RUS То есть новый номер только в офисе и из тех, что есть в офисе? Заранее никак?
negative	Вот если и хаять сеть, то МТС! Просто адский оператор какой-то!
negative	RT @51evgen: @EvaKobb давайте откажемся от МТС,у меня 4 номера Я ГОТОВ!
neutral	«Ростелеком» традиционно выступил партнером XIV Международного праздника Огурца в Суздале. Мероприятие, участниками которого стали более 14
positive	УрБК, Екатеринбург, 22.07.2014. ОАО «МегаФон» стало предоставлять услуги сверхскоростной мобильной связи 4G+ еще в 14 населенных пунктах Св
positive	«МегаФон» представил новую возможность сэкономить в роуминге
negative	@imerkouri враньё! #Мегафон ГЭ! Проверено!
neutral	RT @parfenov1960: Подписаться на мой аккаунт, сделать ретвит данного сообщения и сказать, почему Вы выбираете Мегафон. Желаю удачи. http://…
neutral	@maxbeylis @korobkov другим бизнесменам помогали ! МТС при продаже ГИ Каримова должна било предлогат с начало Государство . Как стратегик
neutral	Билайн ставрополь справка http://t.co/9R3xJ6DqzV
negative	Что объединяет #МТС и #МГТС ? Нет,не то, что они в одной группе компаний,а одинаково низкое качество услуг и поддержки
neutral	@Grajdansky @megafonru @lexandrGurkin мы не можем работать бесплатно, а @rus_fas нас не накажет. Ведь мы ввели платные услуги по блок.спама
neutral	"Леонид Парфенов снялся в рекламе планшетного интернета от ""Мегафон"" | АБН | Агентство Бизнес Новостей http://t.co/FTisq1k15d"
neutral	@Beeline_RUS Забавно. Сообщает минуты и трафик,смс не сообщает (но смс меня не интересует). Спасибо.
negative	#Траффик на Билайне уходит неумолимо :( #Билайн #Москва http://t.co/KGRzUG10xO
negative	"RT @owihycady: Новая реклама от пчелайна: - ""Просто пополняйте счет, и говорите бесплатно!"". Я один вижу здесь какой-то подвох?"
