sentiment	text 
neutral	@mkomov максим ваш письмо мы получать наш сотрудник связываться с вы завтра и направлять запрос инженер для проверка #билайн 
neutral	мегафон становиться владелец 50% акция евросеть 
negative	 @fuckkiev: “@evakobb: мтс россия присылать житель херсонщина сообщение в который обзывать украинец фашист http://tco/rbsesxlouz”  
positive	видео: http://tco/psmlahr4fi реклама со смех мтс - супер 0 
negative	@parfenov1960 потому что мтс доставать а пчела ненавидеть с детство как и они мед 
negative	 @f_u_c_k_y_o_u_: билайн интернет становиться полный гавно 
neutral	на дно город в тюмень мегафон разыгрывать смартфон за хороший селфи 
neutral	&amp;laquo;ростелеком&amp;raquo; становиться партнер всероссийский конкурс &amp;laquo;поколение i&amp;raquo; на создание хороший интернет-проект для ребенок о 
neutral	 @parfenov1960: сотовый оператор мегафон проводить конкурс с розыгрыш 50 iphone 5s для участие нужный http://tco/8szyfgjtme 
positive	мегафон помогать контролировать расход на интернет за граница 
negative	@parfenov1960 фуфло эта ваш мегафонпросить многодать мало 
neutral	@vinylanarchist ну давать ты позвонить как быть в парк а я подходить или наоборот у тя мтс  
neutral	за 7 месяц tele2 проводить 90 городской мероприятие в который участвовать 85 тыс человек 
neutral	@beeline_rus то быть новый номер только в офис и из тот что быть в офис заранее никак 
negative	вот если и хаять сеть то мтс просто адский оператор какой-то 
negative	 @51evgen: @evakobb давать отказываться от мтсу я 4 номер я готовый 
neutral	ростелеком традиционно выступать партнер xiv международный праздник огурец в суздаль мероприятие участник который становиться более 14 
positive	урбк екатеринбург 22072014 оао мегафон становиться предоставлять услуга сверхскоростной мобильный связь 4g+ еще в 14 населенный пункт св 
positive	мегафон представлять новый возможность сэкономить в роуминг 
negative	@imerkouri вранье #мегафон гэ проверять 
neutral	 @parfenov1960: подписываться на мой аккаунт сделать ретвлять данный сообщение и сказать почему вы выбирать мегафон желать удача http:// 
neutral	@maxbeylis @korobkov другой бизнесмен помогать  мтс при продажа ги каримов должный бить предлогат с начало государство  как стратегик 
neutral	билайн ставрополь справка http://tco/9r3xj6dqzv 
negative	что объединять #мтс и #мгтс  нетень то что они в один группа компанийа одинаково низкий качество услуга и поддержка 
neutral	@grajdansky @megafonru @lexandrgurkin мы не мочь работать бесплатно а @rus_fas мы не наказывать ведь мы вводить платный услуга по блокспам 
neutral	леонид парфенов сниматься в реклама планшетный интернет от мегафон | абна | агентство бизнес новость http://tco/ftisq1k15d 
neutral	@beeline_rus забавно сообщать минута и трафиксмс не сообщать (но смс я не интересовать) спасибо 
negative	#траффик на билайн уходить неумолимо :( #билайн #москва http://tco/kgrzug10xo 
negative	 @owihycady: новый реклама от пчелайн: - просто пополнять счет и говорить бесплатно я один видеть здесь какой-то подвох 
neutral	мтс проводить экскурсия дополнять реальность во львов 
neutral	# мтс приглашать на экскурсия по место боевой слава донецк 
negative	@ru_mts вот утомлять вы свой хитрожопость но пока альтернатива в местность нет быть вы заебывать 
neutral	мегафон рассказывать о правило путешествие с телефон - тюменский линия 
neutral	ростелеком становиться партнер всероссийский конкурс поколение i 
neutral	мтс вводить звонок из роуминг за счет вызывать абонент 
neutral	мтс и opera представлять магазин мобильный приложение app market 
neutral	мегафон e173 скачать прошивка http://tco/22yrzhrrlv 
neutral	мегафон тверь справка http://tco/ethmltzizo 
positive	завтра мочь у я быть и домашний цифровой тв мтс # 
positive	@beeline_rus ребята касательно ваш чудесный мой билайнарра для iphone а можно он сделать еще чуточку чудесный) http://tco/mgny0tdppt 
neutral	настройка ммс на iphone 5 теле2 http://tco/kmugnuvj1d 
positive	@tselyanov @diden05 @redcom_internet они и пользоваться сейчас спасибо @megafondvpr  
negative	завтра приходиться идти в мегафон а то я что-то не разбирать 
neutral	@beeline_rus здравствовать у я быть идея по повод тариф а также хотеть направлять вы резюме не подсказывать адрес куда можно направлять 
neutral	рынок большой город насыщать а программа цифровизация ростелеком малый населенный пункт еще не начинаться 
neutral	инструкция настройка роутер keenetic 4g мтс сотовый оператор http://tco/yb0e28ejs2 #4g 
positive	завтра хотеть сделать фотка с саша из мтс реально  ууженя я убивать)) 
negative	интернет в тунка глючать правда #мегафон тоже сволочной оператор 
positive	возможность быть онлайн - специфика работа требовать - очень радовать (теперь еще вафай-переносной-модем купить мегафоновский и вообще в 
positive	 @_beeline_kz: сегодня день системный администратор =) с праздник друг http://tco/kidnwq11ht 
neutral	оао &amp;quot;мобильный телесистема&amp;quot; сообщать о запуск в коммерческий эксплуатация первый сеть 4g в тюменский область услуга мобильный п 
negative	незаконный задолженность мтс - минус 9 миллион #minsk #твиттерсил 
positive	мегафон в вологодский область: полгода на скорость 4g+ 
negative	 @evakobb: мтс россия присылать житель херсонщина сообщение в который обзывать украинец фашист http://tco/a0cgv7riaj 
positive	мтс урал отмечать рост продажа мобильный устройство с поддержка 4g 
neutral	у группа быть голодный телефон деньги который вы полагать на этот номер: 8-965-925-0920 (билайн) буда http://tco/l64wsbrhb9 
neutral	http://tco/rrwh81dene сотовый оператор мтс вводить функция звонок из международный роуминг в россия за счет вызывать або 
neutral	10 июль 2014 год вещание телеканал ctc love стартовать в цифровой кабельный сеть билайн 
negative	 @oliverlovefrank: если мобинет опять не зарабатывать - я сжигать во слава сатана весь здание мтс тварь захаривать уже лишать я инет я вы  
neutral	мтс банк ростовский филиал руководство http://tco/ksi2qxrhr9 #ростовский #банк 
positive	 @martinhayes13: компания мтс после слоган ты хорошо придумывать еще 2: у ты много и ты часто 
positive	@parfenov1960 мегафон потому что самый крутой мобильный интернет 
neutral	 @julikaattaway: драйвер на модем билайн http://tco/nu25p1xove 
neutral	@barskykd константин мы понимать васно для тогочто бы вы мочь пользоваться весь возможность наш компаниипожа-таобращаться=&gt;#билайн 
negative	интересно интернет от мтс бывший стрим вообще в курс что он высокоскоростной скорость иметь к то же волновой природа 
neutral	код ошибка 4 билайн http://tco/nepxo4s0yo 
positive	мтс хороший 
neutral	ростелеком подсчитывать ущерб от наводнение на алтай 
neutral	e367 мегафон http://tco/rrvul0typi прошивка 
neutral	@megafonru @volkowah уточнять пожалуйста в лс ваш номер  фио абонент и ваш точный местоположение городулица и номер домапроверять 
neutral	 @krasnok18629570: фас рф на заседание в понедельник 30 июнь принимать сторона компания мтс в спор вокруг контракт на обслуживание сова 
neutral	прошивка модем e160g билайн http://tco/jlfehhqmby 
negative	кста я лошок вчера билайн вырубать инет на самый интересный место 
neutral	tele2 подводить итог четыре год работа в вологодский область 
neutral	@olegt0rr @megafonhelp уточнять на какой именно ветка/на какой станция наблюдаться сложность с недоступность мобильный интернет 
positive	омга появляться сигнал #lte на работа #билайн 
neutral	абонент мтс мочь говорить за счет собеседник находиться в роуминг 
neutral	с 7 по 14 июнь 2014 год мтс быть ежедневно провожать розыгрыш билет на фестиваль воздух 
negative	что-то опять не работать автоплатеж в мегафон :-( 
neutral	мегафон приобретать еще 25% акция компания евросеть за 657 млн доллар 
positive	вымпелком вслед за мтс снижать стоимость роуминг в крым 
negative	как и ожидаться никакой @megafonuralhelp со скорость помогать даже и не собираться лишь бы абонент отставать http://tco/hulmuh1crf 
neutral	как отправлять маячок с мтс теле2 мегафон билайн ростелеком - kakchtopochemuru http://tco/hmbdp9ahjg 
negative	вот и мтс запускать lte в саратов билайн ау 
neutral	ростелеком поддерживать проведение соревнование по пляжный футбол анапа open 
negative	 @t_felg: предлагать билайн сгорать в ад 
negative	@wild_ma13 весь семья на билайнетака бы поменять:) 
neutral	пошаговый инструкция как связываться с оператор мегафон http://tco/yr5dbnejel #как #мегафон 
positive	два повод подключать скоростной интернет от ростелеком лето #r 
negative	#минивэн noahvoxy двигатель • re: перегрев двигатель 1az-fse: megafon_35 на алиэкспрес наш http://tco/quarnn3gw4 #автозапчасть 
neutral	система видеонаблюдение ростелеком успешно отрабатывать в дополнительный период егэ 
negative	@zinda96 добрый деньочень жаль что у вы возникать такой желаниесказывать пожа-тацена на какой тариф или услуга вы не подходить #билайн 
neutral	мтс включать 4g в саратовский область http://tco/dhzbxp6k7q 
neutral	почему человек нравмтся майнкрафт http://tco/hullvireei 
negative	 @lexandrgurkin: @rus_fas @nicko664 @grajdansky @megafonru оператор и спамер продолжать рассылка спам наплевать на фас https://tco/ajr5 
neutral	мегафон не получать крупный контракт на обслуживание пенсионный фонд: пфр при выбор победитель учитывать среди… #афоризм 
negative	@the22ofjuly зайти у я билайн так что ты только потратить деньги много 
neutral	ростелеком принимать участие в учительский проект 
positive	много 19 тысяча клиент оценивать на пятерка качество обслуживание в салон мегафон в бурятия http://tco/ekmjd6lvcp 
neutral	в альбом появляться фотка с визит блогер и журналист в билайн на взлетный 3 в красноярск смотреть радуй http://tco/5lk6bekxbk 
neutral	@malawyn уточнять пожалуйста переносить номер и контактный номер спасибо ^дп #мтс 
positive	короче вчера до мегафон я так и не доезжать зато поузнавать у пользователь мтсу они lte работать 
neutral	нкрси выделять мтс украина короткий номер 
negative	мегафон повышать стоимость интернет-роуминг в европа в 2 раз 
neutral	@slavyanka_river о весь изменение в тариф или услуга публиковаться информация на наш сайт: http://tco/gj3hhwef3l ^дп #мтс 
neutral	beeline объявлять о назначение артур григорян на должность коммерческий директор блок мобильный связь сообщать пресс-служба компания 
positive	вчера быть фестиваль билайн в барнаул билайн запускать у мы 4g) теперь быть все быыстро)) 
negative	но в салон beeline об это почему-то еще не знать(( 
neutral	мтс для keenetic 4g http://tco/gv8pslmk4f прошивка 
negative	@ru_mts 24-го получать смс что обращение принимать в работа хотя я ждать ответ с 17-го число - объяснять что это означать 
neutral	tele2 совместно в вологжанин украшать парк мир к новогодний праздникамнеравнодушный вологжанин свой сила украшать парк мир к новогода 
negative	@megafonru убивать в человек чувство прекрасный http://tco/qzxk6lxyh2 
neutral	mf 626 билайн звонить http://tco/0ycybffkao прошивка 
negative	бля че с интернет тупой билайн 
neutral	сотовый оператор мтс вводить функция звонок из международный роуминг в россия за счет вызывать абонент об этот лентер сообщать в к 
neutral	@abelyalov это быть платеж с карта при помощь моб банк сб пересылать все в мтс на номер 1911 
positive	вежливый мтс http://tco/wxzmcjhct0 #прикол 
neutral	во время заседание состояться 24 июль 2014 нкрси принимать решение о выделение по заявление зао &amp;laquo;мтс украина&amp;raquo; срок на шест 
positive	оператор мтс первый среди российский оператор предоставлять абонент возможность в роуминг совершать звонок за счет вызывать абонент 
neutral	экскурсия в ростелеком 
neutral	экскурсия от ртк (@ музей связь ростелеком w 
negative	почему мтс в дагестан не работать кто знать # 
neutral	урбк екатеринбург 25072014 компания мегафон фиксировать резкий рост востребованность междугородний звонок у абонент оператор на ур 
neutral	в мтс @ новокузнецкий http://tco/tgwe9u754a 
negative	@megafonhelp  здравствовать в питер тоже lte не работать до 25 
neutral	@zen_pc когда интернетчик сваливать на билайн то мегафон становиться нормальный) вообще все по круг меняться 
neutral	#rufollowback билайн создавать удобный web-пространство для корпоративный клиент #читаювзаимно 
neutral	мегафон запускать в новосибирск федеральный центр телемаркетинг 
neutral	мегафон открывать в новосибирск федеральный центр телемаркетингапо оценка компания новый центр быть производить обслуживание свыше 2 
positive	мегафон намерен отключать международный роуминг в республика крым 
positive	вот такой чудный композиция из полевой цветок вы дарить #мегафон в честь день рождение компания @megafonural http://tco/gpwtngyv20 
negative	@ru_mts а не противоречить ли это закон о возможность переход между оператор с сохранение номер 
positive	мегафон модернизировать 400 базовый станция в ростовский область: мегафон намерен устанавливать 400 новый маршрутизатор компания #железо 
positive	мегафон модернизировать 400 базовый станция в ростовский область 
positive	#читаювзаимно мегафон модернизировать 400 базовый станция в ростовский область #взаимный 
positive	мегафон модернизировать 400 базовый станция в ростовский область http://tco/mluapn79o3 
neutral	 @nikkiewart: девушка записывать в телефонный книга свой любовник мтс билайн мегафон не паливаться 
positive	мтс: мы приветствовать защита абонент от спам /  http://tco/onims8ebzj http://tco/wf1uo7o6yx 
negative	мегафон спонсор дом-2(я менять симка) 
positive	@1ezha спасибо сейчас все должно работать корректно протестировать пожалуйста ^дп #мтс 
neutral	прошивка для телефон билайн с100 http://tco/zy83m2jwkw 
negative	в эпоха появление сотовый связь самый хороший оператор быть билайн его лозунг с мы удобно очень хорошо работать не то что сейчас 
neutral	 @stokshina: приезжать послушать про счастие от мтс 
negative	@megafonuralhelp я предоставлять весь необходимый информация проблема заключаться в медленный интернет а не на какой этаж я жить 
neutral	 @rostelecom_news: а вы поздравлять сисадмин с его профессиональный праздник #деньсисадмин #ростелеком http://tco/cqahhnytyc 
neutral	так 500 мб 3 гб или 1 гб #билайн http://tco/aerdlwurio 
negative	что происходить с билайн нереально дозваниваться невыносимый 
neutral	вы на как экскурсия мы на мегафон # 
positive	кто там не мочь дозваниваться до #мтс а я дозваниваться с первый раз и там быть в я связываться с специалист набирать 1 
neutral	@ivbera это билайн 
neutral	лидер рейтинг операционный система становиться android… в сеть tele2 увеличиваться доля смартфон 
neutral	девушка записывать в телефонный книга свой любовник мтс билайн мегафон не паливаться” 
neutral	rostelecom расширять сеть продажа и обслуживание клиент http://tco/sq51hmfgb5 
negative	@beeline_rus пятницкий шоссе д 18 молить давать lte огромный тк огромный нагрузка жить как в каменный век обращать внимание уповать на вы 
positive	 @beeline_rus: @asdsaruss сергей здравствовать спасибо мы рад что вы понравиться скорость приятный пользование интернет  #билайн 
neutral	@evgenygalashin евгенийпапо sim мочь бытькак с поддержка lteтак без неепожа-тот обращаться в офис с паспорт для замена=&gt;#билайн 
neutral	@_ichiren готовый проводить проверка отправлять мы на blogs@mtsru подробность указывать этот данные: http://tco/etlqgm3mup ^дп #мтс 
neutral	 @wlinccubelqa: билайн приглашать весь поклонник кайтбординг пляжный отдых и актуальный музыка на заключительный этап фестиваль b 
neutral	также широко представлять в сеть информация освящать тариф билайн по москва и прочий разновидность рекламный акция 
positive	компания мобильный телесистема (мтс) объявлять о запуск сервис для поведенческий анализ водитель корпоративный автопарк новый усла 
neutral	мтс прослеживать за поведение водитель корпоративный автомобиль 
negative	на дача мой билайн не ловить чета 
neutral	 @beeline_rus: вопрос с какой год ребенок мочь пользоваться интернет сам например наш вебландия  http://tco/42liju13uc http:/ 
neutral	 @megafonural: уже завтра мы открывать в тюмень парк спорт и инновация мегаzoneждем вы с 12 до 18 на ул ленин /орджоникидзе:) http 
neutral	пост запись участник блогерский игрище мтс http://tco/eizqaove6x #играемпорусски #spbblog 
positive	в ростовский область интернет становиться быстро в 10 раз  &amp;laquo;мегафон&amp;raquo; включать на объект связь новый технический оборудование к 
positive	 мтс включать 4g в саратовский область 
neutral	@i_need_a_beach @bmthurricane пойти на горка билайн 
neutral	&amp;laquo;мегафон&amp;raquo; включать на объект связь новый технический оборудование который позволять значительно увеличивать скорость работа 
positive	&amp;quot;мегафон&amp;quot; намерен устанавливать 400 новый маршрутизатор компания juniper networks на базовый станция в ростовский область что по 
neutral	@janejashka ну кинуть скрин в саппорт мегафон они разбираться а над чувак поиздейваться веселие же 
neutral	инструкция для мтс970 http://tco/t29oa8lszb #для 
positive	трейд-портал: акция мтс иметь отличный шанс на возобновление движение цена вверх с текущий уровень http://tco/46oq0suuxf 
positive	 @retucargo: рейтинг стоимость бренд: apple — лидер два российский компания — сбербанк и мтс входить в топ-100 
positive	 @pybewawypymi: хотеть становиться яйцеголовый подключаться к мтс ))))))) 
neutral	@jonny_socker провайдер случайно не ростелеком 
neutral	@megafonru  судя по то что твит проходить видимо работать 
neutral	ростелеком подсчитывать ущерб от наводнение в алтайский край и республика алтай 
neutral	комстар-отс обеспечивать связь деловой центр ресо в санкт-петербург 
neutral	мтс нацеливаться на половина связной 
neutral	@mbrr_ru мтс-банк: новый возможность карта мтс деньги http://tco/ttgmrrphqt #news #новость 
neutral	 @megafonkomipr: на самый дело побеждать команда сергей сивков лидер рулить 
negative	#мтс прекращать  что делать  где мой интернет  
neutral	приходить на работа в мегафон в кофта мтс)) 
negative	весь @ru_mts в один картинка дада на сайт кривой линковка http://tco/wsedmjwcsx 
positive	@chearstime бля ну почему ты не купить мтсовский смска сейчас бесплатно бы чирикать 
neutral	@sotskovaann сообщать мы пожалуйста вы пробовать переставлять sim карта в другой телефон какой-нибудь изменение происходить #билайн 
neutral	билайн напоминать о дополнительный услуга 
negative	окль окль окль я лететь к ты через свой дибильный мегафоновский скорость 
neutral	в рамка форум дмитрий авер рассказывать о внедрение информационный система для фонд капитальный ремонт многоквартирный дом #ростелеком 
positive	на мтс бесплатно вообще-то 
negative	блин как всегда @megafon полный прием 3g интернет ничерта нет 
negative	@rostelecom_fe когда личный кабинет для абонент gpon приморский край зарабатывать в полный сила  
negative	мтс ты пьяный идти домой http://tco/vbsp5pqzvw 
neutral	ростелеком восстанавливать доступ к газетеru в нижний новгород  #новость http://tco/hih1lk0csw 
positive	мтс запускать сервис поведенческий анализ водитель http://tco/ouv5pb80oi 
positive	мтс запускать сервис поведенческий анализ водитель http://tco/ntm688xvrh 
neutral	@megafonuralhelp смс 
positive	купить 4g интернет от мтс) летать))) 
neutral	ростелеком восстанавливать доступ к газетеru в нижний новгород: доступ к газетеru в нижний новгород http://tco/5am9erywq1 
negative	похоже ростелеком только и уметь что доступ к неугодный ресурс закрывать https://tco/m3ane7vcg8 
negative	@beeline_rus как на вопрос почему не доходить смс я придурок заявлять вы надо поставлять антивирус хорошочто не переустановить ось 
neutral	http://tco/bebcppedai билайн kz 
neutral	коннект скачать программа http://tco/qqlne3klfh мегафон 
neutral	симка мтс купить 
positive	@konayuki_u я вот тоже думать билайн брать спасибо) 
negative	мтс ограничивать инеткруто 
neutral	как активировать usb модем билайн http://tco/z7unaor9ia 
negative	мтс и ростелеком просто сговариваться и убивать  я 
neutral	@defythestars если вопрос не решать то пожалуйста уточнять номер мтс контактный номер постараться помогать ^дп #мтс 
neutral	мтс рапортовать о рост продажа смартфон в свой магазна http://tco/0aw6oze4qt 
negative	попросить в мтс наклеивать пленка на телефон целый атракцион 
negative	билайн я весь понимать но у я день рождение завтра 
neutral	алай приглашать я на экскурсия в мтс ахах 
positive	мтс прослеживать за поведение водитель: http://tco/yi9jdvnzlq 
positive	кто доходить-таки до ростелеком или получать ключ по почта - тот молодец респект товарищ 
positive	@amaranth815 переходить на мегафон с сохранение номер там отличный инет низкий цена и нет смс спам 
neutral	сказать я безлимитный интернет мтс быть работать в краснодарский край 
neutral	 @okophoto: билайн объявлять о запуск сеть 4g в орловский регион  http://tco/nnxpy64t6u  #билайн #орел #орлец #4g #lte http://tco/0fx 
positive	билайн создавать удобный web-пространство для корпоративный клиент 
negative	 @malferov: трусливый билайн отказываться признавать факт спам называть скриншот экран - подделка https://tco/7db8x9vgkq http://tco 
positive	ставить 5 балл фильм метод фрейд 11 серия из видеопрокат интерактивный тв ростелеком 
negative	интернет у мтс в парк горький я бы сказать не получаться тупилово в стиль e 
negative	билайн опять из аквариум выползн что за черепаха такой 
negative	муж с каждый год становмтся наглый 
neutral	пост запись участник блогерский игрище мтс http://tco/vmsjitrcge #играемпорусски #мтс 
negative	 @t_felg: а что опять с ебучий билайн я надо сто звонок сделать перед вылет а сеть опять нетперезагружать симка проверять н 
neutral	 @pressa71: в сеть tele2 увеличиваться доля смартфон #тула #туляк #туларуливать http://tco/mopnxxurfo 
neutral	2804 мтс обновление прошивка http://tco/qtytf1gpii fast 
negative	@t_felg мегафон тоже довольно так ебучий 
negative	вы еще не воспользоваться наш новый услуга а мы уже снимать с вы деньги мтс: на шаг впереди 
negative	ебучий билайн продолжать ебатьrt @t_felg: интересно а вот ебучий билайн я возмещать трата на весь звонок в (cont) http://tco/s4kqxuqq9n 
positive	http://tco/ha4gu5wpzt билайн создавать удобный web-пространство для корпоративный клиент 
positive	 @cinematica_kg: мы это ждать в зал билайн к/т ала-тоо через 4 день устанавливать новый экран и 3d система новый разработка 
neutral	мобильный телефон мтс http://tco/sndokqu6ec 
positive	tele2 отменять плата за общение внутри сеть и снижать стоимость звонок на весь направленияtele2 запускать принципиально новый тарифный лин 
negative	я кстати по этот же причина и с мтс до сей пора ниховать не решать гг 
negative	пиздец мтс обрадовать 
positive	@beeline_rus спасибо выручать весь работать 
negative	за качество связь на  жубанов тархан уже много полгода жаловаться у @_beeline_kz специалист на улитка передвигаться 
positive	@iprizrak по повод цена на связь в подкаста: плакать 3$ в месяц за 3000 минута/смс и 3гб edge выговаривать не мочь мтс украина 
negative	наконец-то тормознуть ростелеком только щас понимать что деньги на счет приходить и можно включать-таки инет в квартира спасибо 
neutral	драйвер для модем скайлинк http://tco/grm91eoevb 
neutral	 @levashove: друг  проголосовать за я хотеть в анапа http://tco/wkug1oghrc #калининград #билайн 
negative	 @alice_horan69: мтсор с ты пхахаххах http://tco/d2qh0ga5aj 
neutral	tele2 переходить на новый макрорегиональный структура 
negative	@whiiite_nigger да еще тут теперь нету свет нет связь мтс оставаться только лайф 
negative	 @smoldorogi: на рекламный щит @ru_mts нагиев и дед мороз в исподнее поход новый год без подарок быть главный соль на спичка обменя 
negative	@_beeline_kz я звонить с номер +393496635324 +575385427871 и так далее если подымать трубка списывать баланс 
neutral	инструкция настройка dir-320 nru под билайн http://tco/j0t4hq8uuo #инструкция 
negative	мтс гореть в ад горивада 
negative	ну мтс не надо так делать(( 
neutral	для usb модем билайн под андройд http://tco/fng3rve7at прошивка 
positive	завтра мочь у я быть и домашний цифровой тв мтс 
neutral	мегафон логин2 ms3a инструкция игра http://tco/wb4lualygo #логин2 #игра 
positive	но я подрубать 8 гб мегафонотрафик так что ожидать репортажик с онямефеставать брянск в мой инстаграмчик с тег #anibryan2014 
neutral	омский филиал ростелеком переводить документооборот в электронный вид 
neutral	#news мтс и научный театр ноосфера рассказывать об изобретение никола тесла:  мтс совместно с научный http://tco/duhr3uptau #bizler 
neutral	для телефон мегафон логин http://tco/smjeydutzf программа 
neutral	обновление программа билайн интернет http://tco/oegmfbj65b 
neutral	 @scenetbaiga: ростелеком договариваться о совместный проект с нтв плюс 
negative	 @momzikov: мтс - отвратительный связь как же я угораздить пользоваться это столько год 
