sentiment	text
neutral	http://t.co/YEVHuvVGA1 Взять кредит тюмень альфа банк
neutral	Мнение о кредитной карте втб 24 http://t.co/SBJTcsqjCg
neutral	«Райффайзенбанк»: Снижение ключевой ставки ЦБ на заседании в эту пятницу очень маловероятно
neutral	Современное состояние кредитного поведения в россии сбербанк http://t.co/EXAX01uR0h
positive	@sawik_shuster @YevhenS Главное чтоб банки СБЕР и ВТБ!!!
neutral	http://t.co/Qr6JbSVTxY Оформить краткосрочный кредит оао банк москвы
positive	Самый выгодный автокредит в втб 24 http://t.co/CDJ5P40x7g
neutral	Похоже завтра Сбербанк и ВТБ присоединяется к национальной неоплатной системе
neutral	Кредит иногородним в москве сбербанк http://t.co/AVlmacmlSf
neutral	Кредитный калькулятор россельхозбанк чита http://t.co/EqtmPota1G
positive	http://t.co/h6r6GdBe4H Легко можно получить денежный кредит ы втб 24 банке
neutral	"ДЕЛО -  На 1 млрд грн ушел в минус Райффайзен Банк Аваль и была докапитализирована украинская ""дочка"" ВТБ"
neutral	Део нексия в кредит в альфа банке http://t.co/4nBxtHbczE
neutral	Россельхозбанк кредит стань фермером http://t.co/a7LU5KQT15
neutral	http://t.co/CuNsxVhAb0 Банк втб взять кредит 40000
negative	@ShtirliZ_ @Zhukova_olga @winzard @tereshenkov обязательно про сбербанк напишите! Временами похлеще интернет магазинов финты выкручивает)
neutral	Расчитать кредит сбер банк россии в москве http://t.co/oHrZJ3uFEe
neutral	Кредит в газпром банке тула http://t.co/jqt7NfDbma
neutral	Кредитный калькулятор сбербанк россии http://t.co/MGS8yMyXJA
negative	@Umka_75 @Alfarius2012 @igor_sechin втб и сбер точно. вопрос-блокировка операций или запрет на кредиты?
neutral	http://t.co/Snn5WoPVcf Взять кредит строительство магазина россельхозбанк
neutral	Льготный период по кредитной карте втб 24 http://t.co/5O4yDMadhK
neutral	http://t.co/SqAiEPURl0 Казань банк втб 24 хочу взять кредит мне 20 лет
neutral	http://t.co/YtapffQchW Как взять кредит на развитие хозяйства россельхозбанк
neutral	Оао банк втб северо запад в спб автокредит http://t.co/G0Y5Y292P0
neutral	http://t.co/6sKsurs9OH Оформить заявку на кредит в банк уралсиб
neutral	http://t.co/v4cogwQQ1g Взять кредит в газпромбанке какие условия
negative	Канада ввела санкции против Газпромбанка, ВЭБа, Новатэка и российских оборонных компаний
neutral	http://t.co/UYLSGYH8P6 Как взять денежный кредит в альфа банке
neutral	Заявление на потребительский кредит в райффайзенбанк http://t.co/spzDtvyRCH
neutral	http://t.co/c2r5fpTO6H Сбербанк кредит как получить
neutral	Западно уральский сбербанк россии акция ипотечный кредит http://t.co/jEsbw6MGO2
neutral	Банк втб 24 казань потребительский кредит http://t.co/lqXXCyMx2F
neutral	http://t.co/qfYkNOXrQT Взять кредит сбербанк россии казань
neutral	http://t.co/LNqdQ8s8pa Как оформить кредитную карту уралсиб банка в рб
neutral	http://t.co/TxgTGAgqBL Взять кредит сбербанк онлайн
neutral	Целевой кредит в россельхозбанке с поручителем http://t.co/mY8Ja0RYni
neutral	170 лет сбербанк акции автокредит екатеринбург http://t.co/BfkRy9kBry
neutral	руководство по программе сбербанк бизнес http://t.co/eW9lQ1bKx1 #бизнес #руководство
neutral	Банк москвы даёт кредиты http://t.co/tf2WOLOYRk
neutral	http://t.co/CbMNABPOqp Альфа банк взять кредит наличными
positive	Снижение процентной ставки по кредиту на недвижимость сбербанк http://t.co/MredO898wK
neutral	Кредиты в россельхозбанке без посредников http://t.co/t5zdJbvd98
negative	RT @letokot: Если Сбер и ВТБ попали под санкции, будет жопа
neutral	http://t.co/JB7JqZMGkL Втб 24 зао взять кредит н новгороде кредиты
neutral	Райффайзенбанк уфа кредит на снегоход полярис http://t.co/wIQo8tABTY
neutral	http://t.co/14dY9LVVeV Взять кредит на технику в альфа банке
positive	В наш сбербанк пришел американец и попросил сфоткаться с ним у банкомата ;D  я ваще была в шоке и на фотке полюбому получилась смешная xD
neutral	http://t.co/XifphFemGQ Втб 24 банк взять кредит без справки о доходах
