sentiment	text 
neutral	http://tco/yevhuvvga1 взять кредит тюмень альфа банк 
neutral	мнение о кредитный карта втб 24 http://tco/sbjtcsqjcg 
neutral	райффайзенбанк: снижение ключевой ставка цб на заседание в этот пятница очень маловероятный 
neutral	современный состояние кредитный поведение в россия сбербанк http://tco/exax01ur0h 
positive	@sawik_shuster @yevhens главное чтоб банк сбер и втб 
neutral	http://tco/qr6jbsvtxy оформлять краткосрочный кредит оао банк москва 
positive	самый выгодный автокредит в втб 24 http://tco/cdj5p40x7g 
neutral	похоже завтра сбербанк и втб присоединяться к национальный неоплатный система 
neutral	кредит иногородний в москва сбербанк http://tco/avlmacmlsf 
neutral	кредитный калькулятор россельхозбанк чита http://tco/eqtmpota1g 
positive	http://tco/h6r6gdbe4h легко можно получать денежный кредит ы втб 24 банк 
neutral	дело -  на 1 млрд грн уходить в минус райффайзен банк аваль и быть докапитализировать украинский дочка втб 
neutral	део нексия в кредит в альфа банк http://tco/4nbxthbcze 
neutral	россельхозбанк кредит становиться фермер http://tco/a7lu5kqt15 
neutral	http://tco/cunsxvhab0 банк втб взять кредит 40000 
negative	@shtirliz_ @zhukova_olga @winzard @tereshenkov обязательно про сбербанк написать время хлесткий интернет магазин финт выкручивать) 
neutral	расчитывать кредит сбер банк россия в москва http://tco/ohrzj3ufee 
neutral	кредит в газпром банк тула http://tco/jqt7nfdbma 
neutral	кредитный калькулятор сбербанк россия http://tco/mgs8ymyxja 
negative	@umka_75 @alfarius2012 @igor_sechin втб и сбер точно вопрос-блокировка операция или запрет на кредит 
neutral	http://tco/snn5wopvcf взять кредит строительство магазин россельхозбанк 
neutral	льготный период по кредитный карта втб 24 http://tco/5o4ydmadhk 
neutral	http://tco/sqaiepurl0 казань банк втб 24 хотеть взять кредит я 20 год 
neutral	http://tco/ytapffqchw как взять кредит на развитие хозяйство россельхозбанк 
neutral	оао банк втб северо запад в спб автокредит http://tco/g0y5y292p0 
neutral	http://tco/6sksurs9oh оформлять заявка на кредит в банк уралсиб 
neutral	http://tco/v4cogwqq1g взять кредит в газпромбанк какой условие 
negative	канада вводить санкция против газпромбанк вэб новатэк и российский оборонный компания 
neutral	http://tco/uylsgyh8p6 как взять денежный кредит в альфа банк 
neutral	заявление на потребительский кредит в райффайзенбанк http://tco/spzdtvyrch 
neutral	http://tco/c2r5fpto6h сбербанк кредит как получать 
neutral	западный уральский сбербанк россия акция ипотечный кредит http://tco/jesbw6mgo2 
neutral	банк втб 24 казань потребительский кредит http://tco/lqxxcymx2f 
neutral	http://tco/qfyknoxrqt взять кредит сбербанк россия казань 
neutral	http://tco/lnqdq8s8pa как оформлять кредитный карта уралсиб банк в рб 
neutral	http://tco/txgtgagqbl взять кредит сбербанк онлайн 
neutral	целевой кредит в россельхозбанк с поручитель http://tco/my8ja0ryni 
neutral	170 год сбербанк акция автокредит екатеринбург http://tco/bfkry9kbry 
neutral	руководство по программа сбербанк бизнес http://tco/ew9lq1bkx1 #бизнес #руководство 
neutral	банк москва давать кредит http://tco/tf2woloyrk 
neutral	http://tco/cbmnabpoqp альфа банк взять кредит наличные 
positive	снижение процентный ставка по кредит на недвижимость сбербанк http://tco/mredo898wk 
neutral	кредит в россельхозбанк без посредник http://tco/t5zdjbvd98 
negative	 @letokot: если сбер и втб попадать под санкция быть жопа 
neutral	http://tco/jb7jqzmgkl втб 24 зао взять кредит н новгород кредит 
neutral	райффайзенбанк уфа кредит на снегоход полярис http://tco/wiqo8tabty 
neutral	http://tco/14dy9lvvev взять кредит на техника в альфа банк 
positive	в наш сбербанк приходить американец и попросить сфоткаться с он у банкомат ;d  я ваща быть в шок и на фотка полюбой получаться смешной xd 
neutral	http://tco/xifphfemgq втб 24 банк взять кредит без справка о доход 
neutral	отсрочка платеж по кредит россельхозбанк http://tco/5eanvwo5un 
neutral	заявление анкета на ипотечный кредит втб 24 http://tco/6adwm91x7i 
negative	 @360_tv_ru: #канада вводить санкция против 10 оборонный и сырьевой компания и банк #рф среди они в частность #газпромбанк #внешэк 
positive	за первый полугодие 2014 год сбербанк россия выдавать ипотечный кредит на сумма много 402 млрд рубль что на 70% большой аналогичный пока 
neutral	условие частично досрочный погашение кредит в райффайзенбанк http://tco/ezfc16vmis 
neutral	расчет кредит наличные сбербанк http://tco/i4lscis9q8 
neutral	сравнивать кредитный ставка в сбербанк газпромбанк ираффайзенбанк http://tco/djjaajtgc1 
neutral	бпс сбербанк депозит кредит http://tco/ahmua7tb52 
neutral	пенза сбербанк жилищный кредит http://tco/nmfi9aph9m 
positive	пресс-релиз банк: сбербанк и трест уралавтострой заключать соглашение о сотрудничество 
neutral	документ для потребительский кредит в райффайзенбанк http://tco/a4k2lydysk 
neutral	высчитывать процент по кредит сбербанк http://tco/w9gsypw5s7 
neutral	кредит юридический лицо банк втб 24 http://tco/wmanyuvubd 
neutral	россельхозбанк кредит на развитие тепличный хозяйство http://tco/q5b1m1iimk 
negative	@irinka_koluchka @banki_ru и один из контора-мошенник составлять банк сбербанк россия под крыша ой правительство  http://tco/azqdcddf4a 
neutral	обслуживание кредитный карта альфа банк http://tco/ntvnadbepy 
negative	@pkawka91 @banki_ru он не под крышоя поход он сам крыша сбербанк использовать вопрос почему и кто позволять http://tco/pmscp8mcqz 
neutral	кредитный калькулятор сбербанк украина http://tco/jqd0an7yhz 
neutral	http://tco/a7vjha8k8f сбербанк не менять привычка: теперь и в интернет 
positive	россельхозбанк утверждать программа развитие региональный сеть до 2020 год | http://tco/zynbxntsag http://tco/joyrlqpsat 
neutral	отказ от повышение налог сохранять и даже ускорять рост ввп рф - sberbank cib 
positive	льготный кредитование на автомобиль 2014 сбербанк http://tco/wu0s8lmwqa 
